Code,Name,Link,longitude,latitude
ZH00047,荆州,https://textcourt.ames.ox.ac.uk/database/entities/ZH00047,112.19077,30.35044
ZH00289,華亭,https://textcourt.ames.ox.ac.uk/database/entities/ZH00289,106.65195,35.21884
ZH00081,藍田,https://textcourt.ames.ox.ac.uk/database/entities/ZH00081,109.32156,34.1537
ZH00121,蘇州,https://textcourt.ames.ox.ac.uk/database/entities/ZH00121,120.61862,31.31271
ZH00098,衡山,https://textcourt.ames.ox.ac.uk/database/entities/ZH00098,112.85242,27.24565
ZH00011,襄陽,https://textcourt.ames.ox.ac.uk/database/entities/ZH00011,112.1587,32.02652
ZH00065,豐城,https://textcourt.ames.ox.ac.uk/database/entities/ZH00065,115.78578,28.19775
ZH00064,贛州,https://textcourt.ames.ox.ac.uk/database/entities/ZH00064,114.93248,25.847
ZH00036,鄢陵,https://textcourt.ames.ox.ac.uk/database/entities/ZH00036,114.19534,34.10743
ZH00073,鄱陽,https://textcourt.ames.ox.ac.uk/database/entities/ZH00073,116.66383,28.99417
ZH00298,金山,https://textcourt.ames.ox.ac.uk/database/entities/ZH00298,102.66386,36.44992
ZH00249,金華,https://textcourt.ames.ox.ac.uk/database/entities/ZH00249,119.64992,29.10471
ZH00324,鉛山,https://textcourt.ames.ox.ac.uk/database/entities/ZH00324,117.77659,28.20845
ZH00183,錢塘,https://textcourt.ames.ox.ac.uk/database/entities/ZH00183,120.16862,30.29412
ZH00077,長安,https://textcourt.ames.ox.ac.uk/database/entities/ZH00077,108.90697,34.24642
ZH00026,長沙,https://textcourt.ames.ox.ac.uk/database/entities/ZH00026,112.97813,28.1982
ZH00037,開封府,https://textcourt.ames.ox.ac.uk/database/entities/ZH00037,114.34333,34.78548
ZH00346,閩,https://textcourt.ames.ox.ac.uk/database/entities/ZH00346,119.32158,26.07395
ZH00148,阜城,https://textcourt.ames.ox.ac.uk/database/entities/ZH00148,116.14471,37.86818
ZH00262,陝西,https://textcourt.ames.ox.ac.uk/database/entities/ZH00262,108.90698,34.24642
ZH00246,陽武,https://textcourt.ames.ox.ac.uk/database/entities/ZH00246,113.96297,35.05195
ZH00321,隴西,https://textcourt.ames.ox.ac.uk/database/entities/ZH00321,104.6356,35.00714
ZH00138,青城,https://textcourt.ames.ox.ac.uk/database/entities/ZH00138,117.69149,37.18784
ZH00048,青州,https://textcourt.ames.ox.ac.uk/database/entities/ZH00048,118.47827,36.68792
ZH00354,靜海縣,https://textcourt.ames.ox.ac.uk/database/entities/ZH00354,116.91908,38.93436
ZH00386,韓城,https://textcourt.ames.ox.ac.uk/database/entities/ZH00386,110.43764,35.46594
ZH00214,順天府,https://textcourt.ames.ox.ac.uk/database/entities/ZH00214,116.368,39.93143
ZH00295,順德,https://textcourt.ames.ox.ac.uk/database/entities/ZH00295,114.49426,37.06636
ZH00313,鳳陽府,https://textcourt.ames.ox.ac.uk/database/entities/ZH00313,117.53774,32.86535
ZH00101,龍門,https://textcourt.ames.ox.ac.uk/database/entities/ZH00101,114.24309,23.73928
